epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,315.693,0.79297,0.97442,0.99977,2.72457,0.000237946,0.000237946,0.000237946
2,621.131,0.15633,0.9892,0.99989,2.69923,0.000381709,0.000381709,0.000381709
3,919.45,0.11561,0.99318,1,2.69354,0.000431223,0.000431223,0.000431223
4,1229.81,0.07467,0.99443,1,2.68987,0.000289884,0.000289884,0.000289884
5,1535.56,0.04121,0.99636,1,2.68727,0.000148512,0.000148512,0.000148512
